                               Размер входных данных          Время работы в наносекундах    Количество итераций
test_00.txt                    100                            14600                          21                            
test_01.txt                    200                            26900                          43                            
test_02.txt                    300                            14700                          67                            
test_03.txt                    400                            27500                          93                            
test_04.txt                    500                            21300                          114                           
test_05.txt                    600                            24800                          135                           
test_06.txt                    700                            13600                          156                           
test_07.txt                    800                            15500                          174                           
test_08.txt                    900                            18500                          199                           
test_09.txt                    1000                           18900                          217                           
test_10.txt                    1100                           24300                          246                           
test_11.txt                    1200                           23000                          269                           
test_12.txt                    1300                           26400                          304                           
test_13.txt                    1400                           33400                          313                           
test_14.txt                    1500                           29700                          341                           
test_15.txt                    1600                           30600                          366                           
test_16.txt                    1700                           31600                          373                           
test_17.txt                    1800                           43400                          405                           
test_18.txt                    1900                           37500                          440                           
test_19.txt                    2000                           43000                          440                           
test_20.txt                    2100                           37800                          465                           
test_21.txt                    2200                           45200                          486                           
test_22.txt                    2300                           44800                          516                           
test_23.txt                    2400                           41600                          547                           
test_24.txt                    2500                           49500                          558                           
test_25.txt                    2600                           39700                          566                           
test_26.txt                    2700                           44100                          616                           
test_27.txt                    2800                           42900                          630                           
test_28.txt                    2900                           41400                          635                           
test_29.txt                    3000                           44200                          671                           
test_30.txt                    3100                           47100                          703                           
test_31.txt                    3200                           48600                          725                           
test_32.txt                    3300                           51000                          747                           
test_33.txt                    3400                           53500                          790                           
test_34.txt                    3500                           54900                          791                           
test_35.txt                    3600                           54000                          807                           
test_36.txt                    3700                           56000                          829                           
test_37.txt                    3800                           56500                          854                           
test_38.txt                    3900                           59600                          884                           
test_39.txt                    4000                           61400                          905                           
test_40.txt                    4100                           61300                          915                           
test_41.txt                    4200                           61400                          949                           
test_42.txt                    4300                           63200                          956                           
test_43.txt                    4400                           70500                          1016                          
test_44.txt                    4500                           69500                          1000                          
test_45.txt                    4600                           79800                          1014                          
test_46.txt                    4700                           69700                          1067                          
test_47.txt                    4800                           73400                          1092                          
test_48.txt                    4900                           73000                          1104                          
test_49.txt                    5000                           76500                          1130                          
test_50.txt                    5100                           80400                          1135                          
test_51.txt                    5200                           80700                          1173                          
test_52.txt                    5300                           79400                          1207                          
test_53.txt                    5400                           79400                          1214                          
test_54.txt                    5500                           82000                          1213                          
test_55.txt                    5600                           87000                          1272                          
test_56.txt                    5700                           79800                          1265                          
test_57.txt                    5800                           86800                          1310                          
test_58.txt                    5900                           90000                          1349                          
test_59.txt                    6000                           91000                          1335                          
test_60.txt                    6100                           92300                          1368                          
test_61.txt                    6200                           91700                          1383                          
test_62.txt                    6300                           93100                          1402                          
test_63.txt                    6400                           96800                          1410                          
test_64.txt                    6500                           98700                          1474                          
test_65.txt                    6600                           97700                          1472                          
test_66.txt                    6700                           100900                         1502                          
test_67.txt                    6800                           103700                         1548                          
test_68.txt                    6900                           104800                         1565                          
test_69.txt                    7000                           111800                         1584                          
test_70.txt                    7100                           108400                         1594                          
test_71.txt                    7200                           111900                         1640                          
test_72.txt                    7300                           109600                         1621                          
test_73.txt                    7400                           110400                         1672                          
test_74.txt                    7500                           72600                          1690                          
test_75.txt                    7600                           74300                          1720                          
test_76.txt                    7700                           51800                          1742                          
test_77.txt                    7800                           39400                          1746                          
test_78.txt                    7900                           40500                          1785                          
test_79.txt                    8000                           39500                          1801                          
test_80.txt                    8100                           41600                          1836                          
test_81.txt                    8200                           42000                          1824                          
test_82.txt                    8300                           44600                          1871                          
test_83.txt                    8400                           47900                          1897                          
test_84.txt                    8500                           44200                          1918                          
test_85.txt                    8600                           47800                          1937                          
test_86.txt                    8700                           48400                          2008                          
test_87.txt                    8800                           45600                          1984                          
test_88.txt                    8900                           46100                          1991                          
test_89.txt                    9000                           44500                          1989                          
test_90.txt                    9100                           46700                          2035                          
test_91.txt                    9200                           48000                          2064                          
test_92.txt                    9300                           45700                          2100                          
test_93.txt                    9400                           47700                          2082                          
test_94.txt                    9500                           62500                          2068                          
test_95.txt                    9600                           49500                          2167                          
test_96.txt                    9700                           51800                          2195                          
test_97.txt                    9800                           53800                          2221                          
test_98.txt                    9900                           53900                          2228                          
test_99.txt                    10000                          52700                          2228                          
